handle,type,id,urn,url,posted_at_iso,posted_at_ms,time_rel,is_edited,author_handle,author_name,author_kind,author_headline,is_own,is_reshare,reshared_inner_id,reshared_inner_urn,text,has_image,has_video,has_document,has_article,has_poll,has_event,has_celebration,image_urls,article_title,article_url,reactions,comments,reposts
logan-hendrickson,all,,urn:li:activity:7461023533473628160,https://www.linkedin.com/feed/update/urn:li:activity:7461023533473628160/,2026-05-15T12:03:49.494000+00:00,1778846629494,,false,,,,,,,,,"I hate to be doom and gloom but if you're a Competitive Intel ONLY type of PMM I would for sure be learning more areas of product marketing if I were you.

I built a CI workflow automation yesterday that kind of blew my mind and is literally what you could hire an early-career CI pro to do.

I know people have been sounding this alarm for a while now but now that I see it first hand on my actual laptop I believe so strongly that broadening your skillset is only going to set you up better for the future of how we work.",false,false,false,false,false,,,,,,34000,16,0
logan-hendrickson,all,,urn:li:activity:7460395958997127169,https://www.linkedin.com/feed/update/urn:li:activity:7460395958997127169/,2026-05-13T18:30:04.079000+00:00,1778697004079,,false,,,,,,,,,"If I was a startup CEO I would have a single product marketer run my marketing.

Don't tell me that with AI you'd rather be any other kind of marketer than the ultimate jack of all trades.",false,false,false,false,false,,,,,,33,21,21
logan-hendrickson,all,,urn:li:activity:7459965669124620288,https://www.linkedin.com/feed/update/urn:li:activity:7459965669124620288/,2026-05-12T14:00:14.979000+00:00,1778594414979,,false,,,,,,,,,"We wasted so much time because we weren't willing to slow down.

I have a feeling this is true for many teams... becase we have AI and we have a bunch of smart people it is tempting to sprint to certain milestones.

For us it was a bunch of content to support a new product line that started gaining traction sooner than expected.

But in the going fast we honestly have ended up going back and reworking things so much to get it right that we should have probably just taken our time from the jump.

So I'm writing this down for the next time I get asked for leadership advice... 

You often waste more time going fast than you do going slow.",false,false,false,false,false,,,,,,26,6,0
logan-hendrickson,all,,urn:li:activity:7259191408845049856,https://www.linkedin.com/feed/update/urn:li:activity:7259191408845049856/,2024-11-04T13:15:01.123000+00:00,1730726101123,,false,,,,,,,,,"Working this morning on the couch and my son walks over, snoopy in hand.

He lays his head on my shoulder, and asks: ""what are you working on, dad? fixing some slides?""

😐 

Son, there is more to Product Marketing than just fixing slides.

But, yes. That's what I'm doing.

...this happened a year ago and yet nothing has changed.


hashtag
#productmarketing",false,false,false,false,false,,,,,,49,9,0
logan-hendrickson,all,,urn:li:activity:6973636137835786241,https://www.linkedin.com/feed/update/urn:li:activity:6973636137835786241/,2022-09-08T13:40:19.154000+00:00,1662644419154,,false,,,,,,,,,"Maybe you read Daisy Jones' Vice article ""How Alcohol Lost Its Cool"".

A few notable stats in support of that notion:

- NA beverages market has grown over 500% since 2015

- “Sober Curious” google searches peaked in 2021

The article is great. But mostly about pop-culture and the talk around drinking among celebrities (boring).

What is intriguing about it all is that younger people are simply less enamored by drinking.

And those people are our coworkers. So corporate drinking culture is sure to shift.

Oh for the day where the office keg has an NA IPA. 

The article closes with this..

“Will it be like this forever? Probably not. Life has taught us that trends are cyclical and sometimes unexpected. For now though, I hope everyone enjoys not being hungover. See you at the gym.”

That is where I disagree.

Sure, it will be a fad that comes and goes for a few, but wellness is not a trend.


hashtag
#nonalcoholic 
hashtag
#culture",false,false,false,false,false,,,,,,7,1,0
logan-hendrickson,all,,urn:li:activity:7130274288384835585,https://www.linkedin.com/feed/update/urn:li:activity:7130274288384835585/,2023-11-14T19:24:24.441000+00:00,1699989864441,,false,,,,,,,,,"You know you've got a good manager if they can look you in the eye, in person, and apologize to you.

They say you can judge a leader by how they act during times of stress.

""They"" is me, but I think I'm right.

Even if the apology was unnecessary IMO, it is a heck of a way to build trust.",false,false,false,false,false,,,,,,24,0,0
logan-hendrickson,all,,urn:li:activity:7306321728295641089,https://www.linkedin.com/feed/update/urn:li:activity:7306321728295641089/,2025-03-14T14:34:04.919000+00:00,1741962844919,,false,,,,,,,,,"Everyone wants a bigger TAM. More potential customers, more money, right?

But think of your favorite brands. They don’t try to be for everyone. They’re specific. They are make it easy for customers to say ""oh that's me!"".

Patagonia = ethical / outdoors
Subaru = mountains / adventure
Garmin = fitness / running

(okay these are little personal to me and what I like but you get it...)

I just had coffee in town with a dude who is building an awesome creative design agency… he serves people all over the country but he's positioning himself as an Indy studio.

Why? Because he loves this city and wants to shape its creative scene. That clarity makes his brand stronger, not weaker.

The same applies to any business. Positioning is about ownership.

When you stake a clear claim, you get:
✅ Instant differentiation – You’re not “just another” option.
 ✅ Easier sales & marketing – Your audience knows exactly why they need you.
 ✅ Market recognition – Even non-customers remember what you stand for.
 ✅ Growth leverage – Once you dominate a niche, expanding gets easier.

I'm slowly coming around to the idea that specializing doesn’t box you in, it builds the foundation for scaling later.

Even B2B SaaS orgs can do this: Get specific. Own your space. Then grow into whatever you want to.",false,false,false,false,false,,,,,,8,1,0
logan-hendrickson,all,,urn:li:activity:7340375837705191425,https://www.linkedin.com/feed/update/urn:li:activity:7340375837705191425/,2025-06-16T13:52:57.297000+00:00,1750081977297,,false,,,,,,,,,"If you ever want to become a solo entrepreneur, I suggest building a solid product marketing skillset. 

It is pretty much exactly what you need to start a successful small business.

--> positioning
--> packaging
--> pricing
--> segmentation
--> messaging
--> GTM (content, channels, campaigns)
--> enablement

(experience in sales sure helps a lot too, tbh)

Of course that does not mean it is easy... and in a way it is kind of the entire ""new business"" side of your business... but being well-versed in product marketing principles will get you really really far.

I'm already doing wayyyy better than I would have thought when I started 3 months ago.",false,false,false,false,false,,,,,,28,8,0
logan-hendrickson,all,,urn:li:activity:7355575866531221505,https://www.linkedin.com/feed/update/urn:li:activity:7355575866531221505/,2025-07-28T12:32:26.572000+00:00,1753705946572,,false,,,,,,,,,"I'm consulting at a $200M tech company and it has made me rethink what I thought I knew about startup 'scrappiness'.

I used to think that speed and extreme ownership only lived in tiny orgs but turns out it can live in tiny teams within huge orgs.

Here’s what I’ve found within the walls of a true scale-up:

Things I assumed about big companies:
 ❌ Bureaucracy at every turn
 ❌ Slow decision making
 ❌ Less creativity in general

What I actually found:
 ✅ Speed (lots of people working in parallel)
 ✅ Ownership (with deadlines)
 ✅ Frameworks that actually get used (because they have to I think)

There is some truth to smaller teams being more agile, but it's less extreme of a juxtaposition than I thought.

If you're early in your product marketing career and trying to choose between startup chaos and big-company structure don’t assume it’s either/or.",false,false,false,false,false,,,,,,39,13,0
logan-hendrickson,all,,urn:li:activity:7361029980090224640,https://www.linkedin.com/feed/update/urn:li:activity:7361029980090224640/,2025-08-12T13:45:08.577000+00:00,1755006308577,,false,,,,,,,,,"The world of AI products is going crazy and it is making me tired.

I actually think this Cluely product is really interesting (although I personally don't want to use it because I am not ready to outsource my critical thinking skills)... but their positioning is odd. 

The main tagline has to do with cheating on everything. Why lean into that? To stand out?

What stood out to me is that they talk about a completely different use case on the website -- which is more real-time chat and suggested answers to things it is picking up on in your conversations. Nothing to do with ""cheating"".

Even in *ground-breaking* AI... all the products are becoming the same thing and positioning matters more than you think.",true,false,false,false,false,,,https://media.licdn.com/dms/image/v2/D5622AQFmoEEa5mrxmw/feedshare-shrink_800/B56ZiZSty7HUAg-/0/1754918477474?e=1781740800&v=beta&t=c15F7tvtiDb-iT4FEyN7gsB9EkzcTlw5hExVD-H_fdw,,,7,1,0
logan-hendrickson,all,,urn:li:activity:7361377237717143553,https://www.linkedin.com/feed/update/urn:li:activity:7361377237717143553/,2025-08-13T12:45:01.247000+00:00,1755089101247,,false,,,,,,,,,"Reminder: your positioning is a CHOICE

Let's say you have CRM business... you can literally just decide to be the CRM for toy stores tomorrow.

Change the words on your website.

Update your LinkedIn.

And BAM. You are the CRM for toy stores.

The real work starts when you need to back up the claim.

This is why I love how Fletch talks about it as a ""positioning strategy"" because really it is a whole bunch of strategic decisions that culminate in a few words on your website.",false,false,false,false,false,,,,,,19,7,0
logan-hendrickson,all,,urn:li:activity:7380969304294543360,https://www.linkedin.com/feed/update/urn:li:activity:7380969304294543360/,2025-10-06T14:16:53.922000+00:00,1759760213922,,false,,,,,,,,,"My post about team structure ruffled ~20k feathers and the most surprising thing that came out was our old friend: INDUSTRY EXPERIENCE

As a product marketer, how valuable is it really?

Here's my take: if I was building a team I would want about 20% of it to be rock solid on the industry. But if I had to choose between two people -- one with functional expertise and one with industry... I'm choosing the functional every time.

SMEs are important -- but they don't have to be PMMs. (Get advisors, PMs, sales leaders, CS...)

Knowing customers is important -- but just regularly talking to them does the trick. Not to mention that customers are just ONE of your audiences... don't forget we need to influence the exec-team, the analysts, the roadmap, etc.

You could make the case that every role would be better if they ""just got"" the industry. But the best marketers I know can:

- learn new industries / skills / tools fast
- see from multiple POVs
- apply learning from other industries that actually help innovate in the new one

For me, I'm looking for these things BEFORE I look for industry on the resume...

Disclaimer: Nothing is black and white. Yes, there are amazing PMMs who get even better because of their industry experience. Yes, if all else is equal, I am more valuable in industries I've worked in before. Yes of course there are people who have both.

What do you think?",true,false,false,false,false,,,https://media.licdn.com/dms/image/v2/D5622AQH94c9jnrh4hw/feedshare-shrink_800/B56Zm54eACKAAg-/0/1759760212905?e=1781740800&v=beta&t=-TWAaes-yEgmFPeBNPNi0I7MozVlKmUM1MjtownE68o,,,29,35,0
logan-hendrickson,all,,urn:li:activity:7405247113111994368,https://www.linkedin.com/feed/update/urn:li:activity:7405247113111994368/,2025-12-12T14:08:14.604000+00:00,1765548494604,,false,,,,,,,,,"I’m always surprised by how afraid some product teams are to show their product.

It’s almost 2026… if someone wants to ""steal"" your UI, they’ll find it. But that’s not the point of this post.

The point is that even if you’re hesitant to show you “secret sauce” in fear of competitors seeing it, there’s still a way you can use interactive demos 1:1: rather than 1:many.

This is where Guideflow is crazy good.

I like how you can spin up a demo in seconds and make the name, logo, path, everything custom to the exact person at the exact account. 

This is particularly helpful when ABM is a big part of your strategy -- and most of the enterprise SaaS orgs that might not be too keen on putting their whole demo on the website are almost all doing very narrow targeted outreach.

But when you go this route sales still has control. They are just letting the right people experience value sooner.

I would have loved this as a sales guy. 

Why am I not getting prospected with custom demos yet??",false,true,false,false,false,,,,,,36,2,0
logan-hendrickson,all,,urn:li:activity:7422676435879870465,https://www.linkedin.com/feed/update/urn:li:activity:7422676435879870465/,2026-01-29T16:26:08.973000+00:00,1769703968973,,false,,,,,,,,,"I've come to believe that all of marketing is simply being noticed (brand) and being understood (PMM). And then doing that at scale (growth).

Buyers ask 3x more questions about a company (or product) if they've never heard of you before. 

Which is just another reminder that good product marketing without a strong brand is nearly impossible.

I think we're living this out at Overhaul. We're shipping tons of cools stuff, setting big goals, establishing new processes, and we're doing it all with brand + PMM as connected forces.

We share new messaging + positioning in the context of the visual brand -- not just in a doc.

We design the new website thinking about the narrative, the functionality, and the experience equally.

We create content that is ultimately helping us become known and become clearly understood for what we are.

And I'm loving being on a strategic leadership team that sees the whole picture!",false,false,false,false,false,,,,,,138,9,9
logan-hendrickson,all,,urn:li:activity:7425176429614555136,https://www.linkedin.com/feed/update/urn:li:activity:7425176429614555136/,2026-02-05T14:00:13.927000+00:00,1770300013927,,false,,,,,,,,,"One lesson I’ve learned over the years from the best PMMs:

Think about your customers more than your competitors.

Competitive intel has it’s place (and is highly valuable)

But when it comes to content? There is literally almost no downside to showing your product everywhere

None of your competitors are trying to steal your UI or UX.

No one is thinking ""oh they have that feature?? We should build that"" 

(They actually might be… but they want to find out, they will find out) 

For start ups, when product development is becoming more and more the same (and easier and easier to build) hiding behind a gate is only going to slow you down.

When PMMs obsess over secrecy it means they’re thinking more about competitors than customers.

So when thinking about your PMM content this year?

Customers > Competitors

You could be missing out on your most effective marketing asset in 2026 because you’re worried about competitors seeing your stuff.

Don’t fall into the trap! 

My recommendation? Check out Guideflow for a super simple way to put your product front and center and get PMM on the map for influencing real revenue.


hashtag
#guideflowpartner",true,false,false,false,false,,,https://media.licdn.com/dms/image/v2/D5622AQF4x9gMLtz_vQ/feedshare-shrink_800/B56ZwuGnYPKEAg-/0/1770300013096?e=1781740800&v=beta&t=DV6lMjy4NVKBvkeWS1g3W9jGXPbR_duhJkO-EUUw8Kk,,,68,16,16
logan-hendrickson,all,,urn:li:activity:7427005976391741440,https://www.linkedin.com/feed/update/urn:li:activity:7427005976391741440/,2026-02-10T15:10:11.870000+00:00,1770736211870,,false,,,,,,,,,"I joined Overhaul to lead Product Marketing in December.

We launched a totally new website the first week of Feb. How I approached it:

1. Establish clear areas of ownership.

Thankfully we have a great team of people in web, content, brand, project management, data, etc. etc. Me and my team were just a small piece of the puzzle. But knowing which pieces we own from the very start is really helpful.

For us it was: positioning, site nav, and messaging for nearly all the pages.

2. Positioning 

Our homepage is where the positioning lives.

(I think I've heard someone say that before... Rob Kaminski Anthony Pierri)

We spent a long time establishing and communicating new positioning for the business, and it ultimately comes to life on the homepage. It's where your customers, your investors, your employees, your partners, all can go and answer the question ""what is Overhaul?""

3. Site nav

Now THIS is my personal hot take -- PMMs can make their biggest impacts on the positioning and GTM of a business if they can influence the nav bar.

We totally changed how we go to market from a named-product first approach to a problem-first or solution-first approach. 

We intentionally chose the doors we want to show, and created the paths we think our prospects will take to go from curiosity --> clarity --> compelling action.

4. Messaging

My #1 goal for the copy on this site was to get more simple and more clear. To answer the ""what"" before getting to the ""why"".

We added tables to show what products we actually offer, we added comparison charts so people know what to compare our products against, we added simple bullet points that anyone from any industry could read and comprehend.",true,false,false,false,false,,,https://media.licdn.com/dms/image/v2/D5622AQGgogI4tESOnA/feedshare-shrink_800/B56ZxIGlExKcAg-/0/1770736210457?e=1781740800&v=beta&t=-7W6Pgkzlwy1SBJTk7_Id_qS_ewX8JT40lNc660cL0w,,,106,28,28
logan-hendrickson,all,,urn:li:activity:7434260446452350976,https://www.linkedin.com/feed/update/urn:li:activity:7434260446452350976/,2026-03-02T15:36:52.314000+00:00,1772465812314,,false,,,,,,,,,"We are rebuilding our product launch system this year.

Because like most teams in 2026, we’re building a bunch of awesome stuff and I don’t want us to fall into this all-too-common trap:

— Every feature feels important therefore nothing actually IS important

— Launches feel reactive, with no clear expectations or cutoff dates and so everyone scrambles

— CS finds out about a new feature or update when customers do

— Marketing can’t really do much to support because we sprint then move on to the next thing ASAP

— Customers (and customers of our competitors) miss out on things they actually really want and need

This list literally can go on and on…

But ultimately the customer suffers when we aren’t successful in this area of PMM.

So we’re shifting to a simple rule:

We keep shipping continuously, but we intentionally launch once a quarter.

So every quarter:
— Our customers hear all the great new things we’ve built and are building IN CONTEXT of the value of the whole platform

— They get a clearer understanding of what actually changed and cohesive story instead of scattered updates

— Our teams have one place to send customers and folks in the pipeline to showcase how awesome our product and product team is

— We build stronger trust in the long-term direction of the business

PM + PMM are aligned.
Product knows the cutoff dates.
Marketing knows the theme.
Account management has built in touch points.
Sales knows what to talk about next.

It’s early, and there is a ton of work to do to make it actually successful. But I’m optimistic.

PMM leaders, what is your macro-level launch strategy this year? What’s working?",true,false,false,false,false,,,https://media.licdn.com/dms/image/v2/D4E22AQEU39Us72edpA/feedshare-shrink_800/B4EZyvMe2gKIAk-/0/1772465811312?e=1781740800&v=beta&t=wNFn6wDIoFiur3Sg_9sOmFLGPk2YW1GMkEa2qb8XTIQ,,,72,15,15
logan-hendrickson,all,,urn:li:activity:7440045889940996097,https://www.linkedin.com/feed/update/urn:li:activity:7440045889940996097/,2026-03-18T14:46:09.530000+00:00,1773845169530,,false,,,,,,,,,"Little known secret in the PMM world:

The best messaging is the most boring. Let me explain...

My favorite way to explain effective core positioning and messaging to people is to say:

Imagine you're at an event wearing a sweatshirt with your logo on it. Someone comes up and says, ""oh... <company name> what do you do again?"".

Your response should be:

1. Clear -- like this is what we literally do. (we are software. we help bankers do XYZ)

2. Kind of boring -- it should be descriptive first and compelling later. (we are a CRM for retail companies NOT we're supercharging the future of ecommerce)

3. Elicit's questions -- they should say something like ""oh cool I get it. So who are some of your customers?"" or ""Nice. How do you handle X?""

That's it. 

Now they either know what you do and move on with their life or they are maybe in the market for what you do and keep asking more questions.

Your website should do the same thing.

Your product explainer video the same thing.

Cold outbound? Same thing.

Am I wrong?",false,false,false,false,false,,,,,,82,29,0
logan-hendrickson,all,,urn:li:activity:7443269019241205760,https://www.linkedin.com/feed/update/urn:li:activity:7443269019241205760/,2026-03-27T12:13:43.438000+00:00,1774613623438,,false,,,,,,,,,product marketers > all other marketers,true,false,false,false,false,,,https://media.licdn.com/dms/image/v2/D5622AQHww7ZAgzg8zg/feedshare-shrink_800/B56Z0vNuFBJYAc-/0/1774613622092?e=1781740800&v=beta&t=Eb8MvaGcVyiqgMmtnXSF_Mz8FsC5iBztAPDEkfhxAXc,,,89,15,0
